StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q6,Q7,Q7_5_TEXT,Q8,Q8_9_TEXT,Q9,Q9_8_TEXT,Q19_1,Q20,Q16,Q8,Q39,Q42_1,Q43,Q9,Q9_9_TEXT,Q10,Q10_6_TEXT,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q33,Q11,Q37,Q38,Q38_5_TEXT,Q17,Q17_8_TEXT,Q18,Q19,Q20,Q21,Q41
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,Year at Harvard,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Other - Text,What is your race and/or ethnicity? (Select all that apply) - Selected Choice,What is your race and/or ethnicity? (Select all that apply) - Other - Text,Political affiliation,Relationship status,Have you ever been in a relationship?,Have you ever used a dating app?,You think that online dating has made finding a long-term partner (for yourself and/or for others)……,"What is your general attitude towards the existence of dating apps? (1 being very negative, 3 being neutral,  5 being very positive) - Attitude",What percent of Harvard students (rough estimate) do you think are / have been on dating apps? (Enter a number from 0-100),Which dating apps have you used? (Select all that apply) - Selected Choice,Which dating apps have you used? (Select all that apply) - Other - Text,What are/were you mostly looking for on dating apps? - Selected Choice,What are/were you mostly looking for on dating apps? - Other - Text,How often do/did you use dating apps?,Estimate the percentage of profiles you swipe right on out of 100. (Enter number 0-100),Approximately what percent of the people you “like” or swipe right on become matches (where both people liked each other)? (Enter number 0-100),How much do you value the following items when looking for a partner (0 being not important at all and 5 being the most important) - Sexual Attraction,How much do you value the following items when looking for a partner (0 being not important at all and 5 being the most important) - Interpersonal Communication,How much do you value the following items when looking for a partner (0 being not important at all and 5 being the most important) - Personality Compatibility,"When using dating apps, how important was it to you that the profiles you looked at included the following  (1 being not important at all - 5 being the most important)? - Political Affiliation",How often do you go on dates (in-person or virtual)?,"How has your experience been with dating apps overall? (1 = very negative, 5 = very positive)",Check the ones that have happened to you before while on dating apps.,How do you usually initiate a conversation with someone new on a dating app? - Selected Choice,How do you usually initiate a conversation with someone new on a dating app? - Other - Text,"If you’ve been in a relationship, how did you meet your most recent partner? - Selected Choice","If you’ve been in a relationship, how did you meet your most recent partner? - Other - Text",What year did you meet them? (your first ever meeting),Does your partner / most recent partner go or went to Harvard (any affiliated school)?,"Where are they based most of the time? (Enter in Town, State, Country format)",Which of the following best describes your most recent or current relationship?,Feel free to enter any other thoughts about online dating / our survey here.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_9_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_8_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID23""}","{""ImportId"":""QID27""}","{""ImportId"":""QID8""}","{""ImportId"":""QID39""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_9_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_6_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID33""}","{""ImportId"":""QID15""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_5_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_8_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID41_TEXT""}"
2025-10-19 09:27:31,2025-10-19 09:30:23,Survey Preview,,100,171,True,2025-10-19 09:30:23,R_5oTrpkZRuJaJkMQ,,,,,42.366,-71.2271,preview,EN,21,Junior,Woman,,Straight / heterosexual,,Asian,,30,Single (not actively looking for love),Yes,"Yes, used in the past",Harder,,,"Tinder,Hinge",,A long-term relationship,,About once a day,100,90,2,2,3,2,Weekly or more,"4, Somewhat positive","Been sent a sexually explicit message or image you did not ask for,Been threatened with physical harm,Felt insecure about the amount/lack of messages you received","Regular greeting (hi, hello)",,Dating app,,2000,Yes,"Cambridge, MA, USA",Different gender relationship,
2025-10-19 09:42:56,2025-10-19 09:45:31,IP Address,65.112.8.48,100,154,True,2025-10-19 09:45:31,R_7VwaciAIXvM7FCh,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,38,Single (not actively looking for love),No,"No, not interested",Easier,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-19 09:45:36,2025-10-19 09:57:15,IP Address,65.112.8.48,100,699,True,2025-10-19 09:57:16,R_10VAvDIATnSJ07F,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,38,Single (not actively looking for love),Yes,"No, not interested",Easier,,,,,,,,,,,,,,,,,,,Online (not dating app),,1,No,,I don't currently have a partner,
2025-10-22 13:05:11,2025-10-22 13:06:23,IP Address,65.112.8.19,100,71,True,2025-10-22 13:06:24,R_5JTtC70e355tasp,,,,,42.3737,-71.1284,anonymous,EN,18,First-year,Prefer not to say,,Prefer not to say,,Asian,,50,Single (not actively looking for love),No,"No, never used",Easier,3,10,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:05:18,2025-10-22 13:06:37,IP Address,174.196.195.123,100,79,True,2025-10-22 13:06:37,R_17k5ztso27cjkzS,,,,,42.3498,-71.0765,anonymous,EN,21,Senior,Woman,,Straight / heterosexual,,Asian,,35,In a relationship,Yes,"No, not interested",Harder,2,50,,,,,,,,,,,,,,,,,Mutual friends,,2022,Yes,Boston MA,Different gender relationship,
2025-10-22 13:05:22,2025-10-22 13:06:47,IP Address,65.112.8.22,100,84,True,2025-10-22 13:06:47,R_1MbbWmlLwrJaMLv,,,,,42.3737,-71.1284,anonymous,EN,20,Sophomore,Woman,,Straight / heterosexual,,Asian,,30,Single (not actively looking for love),No,"No, not interested",Easier,2,40,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:05:12,2025-10-22 13:06:57,IP Address,104.28.57.65,100,104,True,2025-10-22 13:06:57,R_1urFfDiUIlKbIb2,,,,,42.3574,-71.0618,anonymous,EN,18,First-year,Woman,,Straight / heterosexual,,Asian,,29,Single (actively looking for love),No,"Yes, used in the past",Harder,3,60,Tinder,,A short-term relationship / date casually,,About once a day,15,10,3,5,5,1,A few times a semester,"3, Neither positive nor negative",Been sent a sexually explicit message or image you did not ask for,"Regular greeting (hi, hello)",,,,,,,,
2025-10-22 13:05:31,2025-10-22 13:07:17,IP Address,65.112.8.50,100,105,True,2025-10-22 13:07:17,R_7E0E5UBw6a3OXKP,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,40,It’s complicated,No,"No, not interested",Harder,2,70,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:05:08,2025-10-22 13:11:27,IP Address,65.112.8.17,100,379,True,2025-10-22 13:11:27,R_6yBeV5GhcEoC373,,,,,42.3737,-71.1284,anonymous,EN,22,Senior,Woman,,Straight / heterosexual,,Asian,,24,Single (not actively looking for love),No,"Yes, used in the past",Harder,3,40,"Tinder,Hinge,Bumble",,A long-term relationship,,A few times a week,10,40,3,5,5,4,A few times a semester,"3, Neither positive nor negative",Been sent a sexually explicit message or image you did not ask for,Question,,,,,,,,
2025-10-22 13:15:53,2025-10-22 13:19:31,IP Address,65.112.8.52,100,217,True,2025-10-22 13:19:31,R_6rO1xlmfX9TzWss,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Gay / Lesbian,,"Asian,White",,10,In a relationship,Yes,"Yes, used in the past",No difference,4,50,Tinder,,A short-term relationship / date casually,,About once a day,20,85,4,5,4,,Weekly or more,"4, Somewhat positive","Been sent a sexually explicit message or image you did not ask for,Think you encountered a scammer,Felt insecure about the amount/lack of messages you received","Regular greeting (hi, hello)",,Mutual friends,,2025,No,"New Jersey, USA",Same-gender relationship,
2025-10-22 13:05:13,2025-10-22 13:28:41,IP Address,65.112.8.55,100,1407,True,2025-10-22 13:28:41,R_1Mifcg9ftjzpLU7,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Bisexual,,Asian,,0,In a relationship,Yes,"No, never used",Harder,2,80,,,,,,,,,,,,,,,,,Online (not dating app),,2020,Yes,"Cambridge, MA, USA",Same-gender relationship,
2025-10-22 13:30:24,2025-10-22 13:31:36,IP Address,128.103.24.178,100,71,True,2025-10-22 13:31:36,R_5OVuzvpgHeFyfxT,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,50,In a relationship,Yes,"No, not interested",No difference,1,75,,,,,,,,,,,,,,,,,Mutual friends,,2023,Yes,"New York, New York, United States",Different gender relationship,
2025-10-22 13:27:32,2025-10-22 13:31:38,IP Address,65.112.8.56,100,246,True,2025-10-22 13:31:39,R_5ZZ09S7WwMlWM1j,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Straight / heterosexual,,White,,40,In a relationship,Yes,"Yes, used in the past",Easier,4,35,"Tinder,Hinge",,A long-term relationship,,About once a day,1,50,4,4,4,1,A few times a month,"4, Somewhat positive",Think you encountered a scammer,"Regular greeting (hi, hello)",,Other,School,2024,Yes,"Cambridge, MA, USA",Different gender relationship,
2025-10-22 13:31:20,2025-10-22 13:33:33,IP Address,65.112.8.25,100,133,True,2025-10-22 13:33:34,R_7wz3CdOZFM3pcEj,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Man,,Straight / heterosexual,,Hispanic or Latino/a/x,,50,Single (actively looking for love),No,"Yes, used in the past",No difference,3,50,Hinge,,A long-term relationship,,A few times a week,10,2,5,5,5,,Rarely,"3, Neither positive nor negative",None of the above,Pick-up line,,,,,,,,
2025-10-22 13:41:55,2025-10-22 13:42:52,IP Address,65.112.8.21,100,57,True,2025-10-22 13:42:52,R_5NxEXaKkF7TFsXP,,,,,42.3737,-71.1284,anonymous,EN,17,First-year,Man,,Gay / Lesbian,,Asian,,20,Single (actively looking for love),No,"No, but interested",Easier,3,70,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:50:22,2025-10-22 13:54:05,IP Address,172.226.201.64,100,222,True,2025-10-22 13:54:05,R_3IT8oNfUZO3RWuB,,,,,42.3574,-71.0618,anonymous,EN,21,Senior,Woman,,Bisexual,,Asian,,30,In a relationship,Yes,"Yes, used in the past",No difference,3,75,"Tinder,Hinge",,A short-term relationship / date casually,,A few times a month,30,25,4,5,4,3,Rarely,"3, Neither positive nor negative",None of the above,Question,,Other,Class,2024,Yes,"Cambridge, MA",Same-gender relationship,
2025-10-22 14:17:17,2025-10-22 14:21:15,IP Address,172.226.203.65,100,238,True,2025-10-22 14:21:15,R_6oWIzghdpOWS9Zj,,,,,42.3574,-71.0618,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,0,Single (not actively looking for love),No,"Yes, used in the past",Harder,3,70,Bumble,,A long-term relationship,,A few times a week,5,100,4,4,5,4,Rarely,"4, Somewhat positive","Been sent a sexually explicit message or image you did not ask for,Had someone continue to contact you after you said you were not interested,Felt insecure about the amount/lack of messages you received","Regular greeting (hi, hello)",,,,,,,,
2025-10-22 14:19:29,2025-10-22 14:22:27,IP Address,65.112.8.60,100,177,True,2025-10-22 14:22:27,R_6eUOPactcSdu2DG,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Straight / heterosexual,,Asian,,40,Talking stage,No,"Yes, used in the past",Harder,2,25,Hinge,,A long-term relationship,,About once a day,10,75,4,5,5,4,A few times a month,"4, Somewhat positive",None of the above,Question,,,,,,,,
2025-10-22 14:35:18,2025-10-22 14:37:37,IP Address,65.112.8.59,100,139,True,2025-10-22 14:37:38,R_3C8SbPzZPshHmPq,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Asian,,38,Single (not actively looking for love),No,"No, not interested",No difference,3,45,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 14:59:45,2025-10-22 15:01:50,IP Address,65.112.8.29,100,125,True,2025-10-22 15:01:51,R_5ONkVF9e8iCMyzC,,,,,42.3737,-71.1284,anonymous,EN,22,Senior,Prefer to self-describe,Transgender man,Bisexual,,Asian,,0,In a relationship,Yes,"No, not interested",Easier,4,30,,,,,,,,,,,,,,,,,Other,Class :),2023,Yes,USA,Different gender relationship,
2025-10-22 14:55:34,2025-10-22 15:06:13,IP Address,65.112.8.60,100,638,True,2025-10-22 15:06:13,R_6JLUNeNMNXyEcHr,,,,,42.3737,-71.1284,anonymous,EN,24,Senior,Man,,Straight / heterosexual,,Asian,,13,Single (actively looking for love),Yes,"Yes, currently use",No difference,3,10,"Tinder,Hinge,Bumble,Other",coffee meets bagel,A long-term relationship,,About once a day,25,20,3,5,5,3,A few times a semester,"3, Neither positive nor negative",Think you encountered a scammer,Question,,Mutual friends,,2022,Yes,"Cambridge, MA, USA",Different gender relationship,
2025-10-22 15:03:14,2025-10-22 15:08:19,IP Address,65.112.8.57,100,305,True,2025-10-22 15:08:20,R_6PAe4XHBLHxKFEt,,,,,42.3737,-71.1284,anonymous,EN,22,Senior,Nonbinary / genderqueer,,Queer,,White,,5,In a relationship,Yes,"Yes, used in the past",Easier,4,45,"Tinder,Hinge,Bumble",,A long-term relationship,,A few times a week,10,5,2,5,5,4,A few times a month,"5, Very positive","Been sent a sexually explicit message or image you did not ask for,Been called an offensive name or word,Think you encountered a scammer,Felt insecure about the amount/lack of messages you received",Question,,Dating app,,2023,Yes,"Cambridge, MA, United States",Same-gender relationship,
2025-10-22 15:13:30,2025-10-22 15:50:06,IP Address,67.134.205.28,100,2195,True,2025-10-22 15:50:06,R_1TYiORh0Q9uuaHL,,,,,40.6981,-73.7053,anonymous,EN,20,Sophomore,Woman,,Bisexual,,White,,4,Single (actively looking for love),Yes,"Yes, currently use",No difference,3,40,Hinge,,A short-term relationship / date casually,,Multiple times a day,20,40,4,5,5,3,A few times a semester,"2, Somewhat negative","Been sent a sexually explicit message or image you did not ask for,Felt insecure about the amount/lack of messages you received","Regular greeting (hi, hello)",,Other,Grew up together,2012,No,"Concord, MA, USA",Different gender relationship,
2025-10-22 16:34:06,2025-10-22 16:35:38,IP Address,128.103.24.178,100,91,True,2025-10-22 16:35:39,R_3kU3ZiNk7vFiMZ7,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,28,Single (not actively looking for love),No,"No, not interested",Harder,3,70,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 16:37:18,2025-10-22 16:39:05,IP Address,172.56.192.82,100,107,True,2025-10-22 16:39:05,R_1s6reD9p8oAn883,,,,,42.2904,-71.0712,anonymous,EN,20,Junior,Man,,Straight / heterosexual,,Asian,,20,It’s complicated,Yes,"No, not interested",Easier,2,20,,,,,,,,,,,,,,,,,Mutual friends,,2019,No,"Irvine, California, United States of California",Different gender relationship,
2025-10-22 16:41:50,2025-10-22 16:45:55,IP Address,65.112.8.49,100,244,True,2025-10-22 16:45:55,R_3X1i0sSI8ZlmJwq,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Man,,Straight / heterosexual,,White,,70,Single (actively looking for love),Yes,"Yes, used in the past",No difference,3,42,"Tinder,Hinge",,A short-term relationship / date casually,,A few times a week,20,35,4,5,4,2,A few times a semester,"3, Neither positive nor negative",None of the above,Pick-up line,,Mutual friends,,2017,No,VA,Different gender relationship,
2025-10-22 16:45:45,2025-10-22 16:48:22,IP Address,172.226.203.64,100,156,True,2025-10-22 16:48:23,R_7dNjMwictnmgusv,,,,,42.3574,-71.0618,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,White,,60,Single (actively looking for love),Yes,"No, not interested",No difference,3,30,,,,,,,,,,,,,,,,,Other,Extracurriculars,2022,No,"Edgecomb, Maine, US",I don't currently have a partner,
2025-10-22 16:51:14,2025-10-22 16:54:40,IP Address,171.66.12.5,100,206,True,2025-10-22 16:54:41,R_1YMb4toZL2C5QXj,,,,,37.423,-122.1639,anonymous,EN,23,Other / non-degree,Woman,,Gay / Lesbian,,White,,43,Single (not actively looking for love),Yes,"Yes, used in the past",Harder,2,70,"Tinder,Hinge,Bumble",,A short-term relationship / date casually,,About once a day,30,5,3,5,5,1,A few times a semester,"2, Somewhat negative","Had someone continue to contact you after you said you were not interested,Felt insecure about the amount/lack of messages you received",Question,,Other,Classes,2021,Yes,"Cambridge, MA, USA",Same-gender relationship,
2025-10-22 17:20:26,2025-10-22 17:21:17,IP Address,65.112.8.21,100,51,True,2025-10-22 17:21:18,R_3dlXk1lVeVw14I1,,,,,42.3737,-71.1284,anonymous,EN,20,Sophomore,Woman,,Queer,,White,,10,Single (actively looking for love),No,"No, never used",No difference,2,40,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 17:19:59,2025-10-22 17:23:11,IP Address,172.103.81.113,100,191,True,2025-10-22 17:23:11,R_5punQctdH6t9l8O,,,,,30.2625,-97.7463,anonymous,EN,21,Other / non-degree,Woman,,Pansexual,,Asian,,17,Single (not actively looking for love),Yes,"No, not interested",No difference,3,65,,,,,,,,,,,,,,,,,Other,High School,2017,No,"Toronto, Ontario, Canada",Different gender relationship,
2025-10-22 17:23:31,2025-10-22 17:25:16,IP Address,172.226.198.8,100,105,True,2025-10-22 17:25:17,R_5cTvnevQz2uEUJk,,,,,40.7126,-74.0066,anonymous,EN,19,Sophomore,Man,,Straight / heterosexual,,White,,40,Single (actively looking for love),No,"Yes, used in the past",Harder,2,50,"Tinder,Hinge,Bumble,OkCupid,Match",,A short-term relationship / date casually,,About once a day,25,1,2,2,5,2,Never,"1, Very negative",None of the above,Question,,,,,,,,
2025-10-22 17:37:19,2025-10-22 17:40:44,IP Address,65.112.8.26,100,205,True,2025-10-22 17:40:45,R_3VKoZllWGwRMOY7,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,White,,39,Single (actively looking for love),Yes,"Yes, currently use",No difference,2,45,Hinge,,A long-term relationship,,About once a day,10,40,3,4,5,3,Never,"3, Neither positive nor negative",None of the above,"Regular greeting (hi, hello)",,Mutual friends,,2017,No,NY,Different gender relationship,
2025-10-22 17:37:27,2025-10-22 17:40:48,IP Address,65.112.8.25,100,201,True,2025-10-22 17:40:49,R_3l3SVGHUeCT3uy4,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Nonbinary / genderqueer,,Pansexual,,Asian,,13,In a relationship,Yes,"Yes, used in the past",Easier,2,60,"Tinder,Hinge,Bumble",,A long-term relationship,,About once a day,10,30,3,5,5,3,A few times a month,"3, Neither positive nor negative","Had someone continue to contact you after you said you were not interested,Felt insecure about the amount/lack of messages you received",Pick-up line,,Mutual friends,,2024,Yes,India,Different gender relationship,
2025-10-22 17:40:36,2025-10-22 17:43:07,IP Address,65.112.8.49,100,150,True,2025-10-22 17:43:07,R_1tq0QeDRD3llB61,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,10,In a relationship,Yes,"No, never used",Harder,2,48,,,,,,,,,,,,,,,,,Other,Highschool,2017,No,"Rochester, NY, United States",Different gender relationship,
