StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q6,Q7,Q7_5_TEXT,Q8,Q8_9_TEXT,Q9,Q9_8_TEXT,Q19_1,Q20,Q16,Q8,Q39,Q42_1,Q43,Q9,Q9_9_TEXT,Q10,Q10_6_TEXT,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q15_1,Q33,Q11,Q37,Q38,Q38_5_TEXT,Q17,Q17_8_TEXT,Q18,Q19,Q20,Q21,Q41
2025-10-22 17:55:37,2025-10-22 17:59:07,IP Address,172.226.200.15,100,209,True,2025-10-22 17:59:08,R_3mJeP0dd61zJ6Ap,,,,,40.7399,-74.1691,anonymous,EN,22,Senior,Woman,,Straight / heterosexual,,White,,60,Single (not actively looking for love),No,"No, not interested",No difference,3,68,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 18:05:26,2025-10-22 18:06:50,IP Address,171.66.13.92,100,83,True,2025-10-22 18:06:50,R_7OkGYqvfxkeAZ6m,,,,,37.423,-122.1639,anonymous,EN,23,Senior,Woman,,Straight / heterosexual,,Asian,,29,Single (not actively looking for love),Yes,"No, but interested",Easier,3,70,,,,,,,,,,,,,,,,,Mutual friends,,2022,Yes,"Cambridge, MA, USA",I don't currently have a partner,
2025-10-22 18:07:40,2025-10-22 18:11:17,IP Address,65.112.8.58,100,217,True,2025-10-22 18:11:18,R_1pQsxg71w6yi7lB,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Pansexual,,Asian,,25,Single (not actively looking for love),Yes,"No, never used",Easier,4,70,,,,,,,,,,,,,,,,,Mutual friends,,2013,No,"Nebraska, U.S.",Different gender relationship,
2025-10-22 18:17:28,2025-10-22 18:19:13,IP Address,65.112.8.17,100,105,True,2025-10-22 18:19:14,R_6QKjVfnvfwwYTuh,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,19,Single (actively looking for love),Yes,"No, never used",No difference,3,40,,,,,,,,,,,,,,,,,Mutual friends,,2020,No,Cornell,I don't currently have a partner,
2025-10-22 18:24:17,2025-10-22 18:29:07,IP Address,108.238.76.146,100,289,True,2025-10-22 18:29:08,R_7DTw7kVSJRsepJP,,,,,25.882,-80.2291,anonymous,EN,20,Sophomore,Man,,Pansexual,,Black / African American,,0,In a relationship,Yes,"No, not interested",No difference,3,20,,,,,,,,,,,,,,,,,Other,Math class,2023,Yes,USA,Same-gender relationship,"Political spectrum doesn't exist on Democrat-Republican, maybe just say Progressive/Conservative"
2025-10-22 18:35:11,2025-10-22 18:36:29,IP Address,65.112.8.48,100,77,True,2025-10-22 18:36:29,R_37xb39NZ7QsomuR,,,,,42.3737,-71.1284,anonymous,EN,20,Sophomore,Man,,Straight / heterosexual,,White,,50,It’s complicated,Yes,"No, never used",Harder,,10,,,,,,,,,,,,,,,,,Mutual friends,,2022,No,"Gambier, Ohio, U.S.",Different gender relationship,
2025-10-22 18:56:08,2025-10-22 18:58:33,IP Address,65.112.8.16,100,144,True,2025-10-22 18:58:33,R_1lSMILcnA0ipeOE,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Man,,Bisexual,,"Asian,Black / African American,White",,40,In a relationship,Yes,"No, never used",No difference,3,60,,,,,,,,,,,,,,,,,Other,Shared class,2020,No,"Boston, MA, USA",Different gender relationship,"For the question about where we met, you should include an ""at school"" option."
2025-10-22 18:55:40,2025-10-22 18:59:05,IP Address,65.112.8.56,100,204,True,2025-10-22 18:59:06,R_1xHCJMkxIk8oluV,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Nonbinary / genderqueer,,Questioning / Not sure,,Asian,,19,Single (not actively looking for love),Yes,"No, never used",Easier,2,60,,,,,,,,,,,,,,,,,Other,school bruh,2021,No,probably evanston IL i dont talk to her anymore,I don't currently have a partner,
2025-10-22 19:03:27,2025-10-22 19:08:15,IP Address,65.112.8.17,100,287,True,2025-10-22 19:08:15,R_5OND6Lzsh3XIjO7,,,,,42.3737,-71.1284,anonymous,EN,21,Junior,Woman,,Bisexual,,"Asian,White",,0,Single (not actively looking for love),Yes,"Yes, used in the past",Harder,2,30,"Tinder,Hinge",,Casual sex (i.e. hookup),,About once a day,10,70,4,5,5,4,Rarely,"2, Somewhat negative","Been sent a sexually explicit message or image you did not ask for,Had someone continue to contact you after you said you were not interested,Felt insecure about the amount/lack of messages you received",Other,I wait for them to initiate,Other,Were friends with them,2017,No,"They go to grad school at Harvard, but we didn't meet here.",Different gender relationship,I think the question about percentage of matches depends on the gender of the person (I'm bisexual).
2025-10-22 19:15:51,2025-10-22 19:18:29,IP Address,65.112.8.50,100,157,True,2025-10-22 19:18:29,R_3oFhY75iJZFxT3i,,,,,42.3737,-71.1284,anonymous,EN,22,Senior,Woman,,Straight / heterosexual,,White,,45,In a relationship,Yes,"Yes, used in the past",Harder,3,70,"Tinder,Hinge",,A short-term relationship / date casually,,About once a day,60,50,4,5,5,3,Rarely,"2, Somewhat negative",Been sent a sexually explicit message or image you did not ask for,"Regular greeting (hi, hello)",,Other,Class,2024,Yes,"Boston, MA",Different gender relationship,
2025-10-22 19:50:31,2025-10-22 19:51:52,IP Address,65.112.8.24,100,80,True,2025-10-22 19:51:52,R_73qM6LcWeGH8Qfq,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Straight / heterosexual,,Asian,,94,Single (actively looking for love),Yes,"No, never used",No difference,3,50,,,,,,,,,,,,,,,,,Mutual friends,,2023,Yes,cambridge,Different gender relationship,
2025-10-22 19:52:56,2025-10-22 19:53:58,IP Address,65.112.8.55,100,61,True,2025-10-22 19:53:59,R_325Ysg8Ud2btIZT,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Asian,,17,Single (actively looking for love),No,"No, never used",Easier,4,25,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 20:20:38,2025-10-22 20:21:39,IP Address,174.224.171.132,100,60,True,2025-10-22 20:21:39,R_6i2jJbfi7Xc6QcE,,,,,42.3252,-71.0951,anonymous,EN,18,First-year,Man,,Straight / heterosexual,,Asian,,45,Single (not actively looking for love),No,"No, never used",Harder,3,67,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 20:27:04,2025-10-22 20:27:55,IP Address,65.112.8.59,100,51,True,2025-10-22 20:27:55,R_1hngNkHwGP75J92,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Man,,Straight / heterosexual,,White,,48,Single (actively looking for love),No,"No, never used",No difference,3,30,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 20:37:30,2025-10-22 20:41:50,IP Address,65.112.8.25,100,259,True,2025-10-22 20:41:50,R_1fqv8n1DoDDJgZq,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,"Middle Eastern or North African,White",,30,Single (not actively looking for love),Yes,"Yes, used in the past",Harder,2,30,Hinge,,A long-term relationship,,About once a day,5,80,4,5,5,5,A few times a semester,"3, Neither positive nor negative","Been sent a sexually explicit message or image you did not ask for,Had someone continue to contact you after you said you were not interested,Think you encountered a scammer",Other,just something unhinged,Mutual friends,,2023,No,"Chicago, Illinois",I don't currently have a partner,
2025-10-22 20:34:44,2025-10-22 20:45:44,IP Address,65.112.8.60,100,659,True,2025-10-22 20:45:44,R_5M57FAYokC04ZXw,,,,,42.3737,-71.1284,anonymous,EN,22,Senior,Woman,,Straight / heterosexual,,White,,30,In a relationship,Yes,"No, never used",No difference,3,35,,,,,,,,,,,,,,,,,Mutual friends,,2023,Yes,"Cambridge, MA, USA",Different gender relationship,
2025-10-22 21:01:53,2025-10-22 21:03:38,IP Address,65.112.8.54,100,104,True,2025-10-22 21:03:38,R_6li4Y7qJlksq4ud,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Asian,,45,Single (not actively looking for love),Yes,"No, not interested",Harder,2,65,,,,,,,,,,,,,,,,,Other,School,2020,No,"Philadelphia, PA",I don't currently have a partner,
2025-10-22 21:08:12,2025-10-22 21:10:11,IP Address,104.28.56.1,100,119,True,2025-10-22 21:10:12,R_51cqmvnScoeWBP4,,,,,40.7126,-74.0066,anonymous,EN,19,Sophomore,Nonbinary / genderqueer,,Gay / Lesbian,,"Asian,White",,0,Single (not actively looking for love),No,"Yes, used in the past",No difference,3,70,Hinge,,A long-term relationship,,About once a day,25,50,3,5,5,1,Rarely,"3, Neither positive nor negative",None of the above,Question,,,,,,,,
2025-10-22 21:13:58,2025-10-22 21:16:38,IP Address,65.112.8.23,100,160,True,2025-10-22 21:16:39,R_1HTwqan1nMrjuqU,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Bisexual,,Black / African American,,0,Single (actively looking for love),Yes,"No, not interested",Harder,3,40,,,,,,,,,,,,,,,,,Dating app,,2019,No,"Boston, MA, USA",Same-gender relationship,
2025-10-22 21:24:08,2025-10-22 21:27:00,IP Address,98.216.48.117,100,172,True,2025-10-22 21:27:00,R_3mPNUFIX26rCUTw,,,,,42.3649,-71.0987,anonymous,EN,19,Junior,Woman,,Straight / heterosexual,,Asian,,37,Single (actively looking for love),No,"Yes, used in the past",No difference,2,65,Hinge,,Entertainment / validation,,Once a month,4,50,3,4,4,3,Never,"2, Somewhat negative",Had someone continue to contact you after you said you were not interested,"Regular greeting (hi, hello)",,,,,,,,
2025-10-22 21:37:37,2025-10-22 21:41:04,IP Address,65.112.8.31,100,206,True,2025-10-22 21:41:05,R_3V0qOb0Hs5mI9zj,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Asian,,50,Single (actively looking for love),Yes,"Yes, currently use",Harder,3,50,Hinge,,A long-term relationship,,About once a day,20,2,4,4,5,1,Rarely,"2, Somewhat negative",Felt insecure about the amount/lack of messages you received,Question,,Mutual friends,,2019,No,L1,I don't currently have a partner,
2025-10-22 21:46:07,2025-10-22 21:50:35,IP Address,65.112.8.26,100,268,True,2025-10-22 21:50:36,R_3YxXIWYZeGK8p3j,,,,,42.3737,-71.1284,anonymous,EN,19,Junior,Woman,,Straight / heterosexual,,Asian,,50,In a relationship,Yes,"No, not interested",Easier,3,53,,,,,,,,,,,,,,,,,Mutual friends,,2024,Yes,United States of America,Different gender relationship,
2025-10-22 22:05:49,2025-10-22 22:14:07,IP Address,65.112.8.16,100,497,True,2025-10-22 22:14:07,R_6AKFtlcd98CMkBZ,,,,,42.3737,-71.1284,anonymous,EN,20,Sophomore,Woman,,Straight / heterosexual,,Black / African American,,0,Single (not actively looking for love),Yes,"Yes, used in the past",No difference,4,70,"Tinder,Hinge",,A short-term relationship / date casually,,A few times a week,25,15,4,4,2,1,Rarely,"3, Neither positive nor negative","Been sent a sexually explicit message or image you did not ask for,Think you encountered a scammer,Felt insecure about the amount/lack of messages you received",Pick-up line,,Mutual friends,,2019,No,Not sure of current location,Different gender relationship,
2025-10-22 22:15:36,2025-10-22 22:19:56,IP Address,65.112.8.60,100,259,True,2025-10-22 22:19:56,R_1riE2THtNQsQbhe,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Hispanic or Latino/a/x,,70,In a relationship,Yes,"No, not interested",Harder,3,63,,,,,,,,,,,,,,,,,Other,School,2021,No,New York City,Different gender relationship,
2025-10-22 22:56:42,2025-10-22 22:58:02,IP Address,65.112.8.18,100,79,True,2025-10-22 22:58:02,R_3aVu3ghCpz9VDu9,,,,,42.3737,-71.1284,anonymous,EN,20,Sophomore,Woman,,Straight / heterosexual,,Hispanic or Latino/a/x,,0,Single (actively looking for love),No,"No, not interested",Harder,2,60,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 23:00:36,2025-10-22 23:07:15,IP Address,65.112.8.17,100,398,True,2025-10-22 23:07:15,R_38Sw0YRPPnHJazz,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,White,,23,In a relationship,Yes,"Yes, used in the past",Harder,2,40,Hinge,,A long-term relationship,,About once a day,1,60,4,5,5,1,Weekly or more,"2, Somewhat negative","Had someone continue to contact you after you said you were not interested,Felt insecure about the amount/lack of messages you received",Question,,Mutual friends,,2023,Yes,"Cambridge, MA",Different gender relationship,
2025-10-22 23:29:21,2025-10-22 23:30:17,IP Address,65.112.8.23,100,55,True,2025-10-22 23:30:17,R_3oG7vczzrYvJkKc,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Middle Eastern or North African,,20,Single (not actively looking for love),No,"No, never used",Harder,2,65,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 08:10:02,2025-10-23 08:11:46,IP Address,50.234.189.21,100,104,True,2025-10-23 08:11:47,R_1p3TOUiBgVfeayN,,,,,42.3737,-71.1284,anonymous,EN,27,Graduate student,Woman,,Prefer not to say,,Asian,,31,In a relationship,Yes,"No, not interested",Harder,,50,,,,,,,,,,,,,,,,,Other,"High school ",2014,No,San Francisco,Different gender relationship,Vizship
2025-10-23 08:35:27,2025-10-23 08:38:38,IP Address,65.112.8.26,100,190,True,2025-10-23 08:38:38,R_50JccyYPodpj7zz,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Man,,Straight / heterosexual,,Hispanic or Latino/a/x,,37,Single (not actively looking for love),No,"Yes, used in the past",Easier,4,65,"Tinder,Hinge",,A short-term relationship / date casually,,About once a day,15,15,4,4,5,3,Rarely,"4, Somewhat positive",Felt insecure about the amount/lack of messages you received,"Regular greeting (hi, hello)",,,,,,,,
2025-10-23 09:07:43,2025-10-23 09:09:15,IP Address,104.28.56.2,100,91,True,2025-10-23 09:09:15,R_7V44kSXLubMfr7D,,,,,40.7126,-74.0066,anonymous,EN,18,First-year,Woman,,Straight / heterosexual,,Black / African American,,38,Single (actively looking for love),No,"No, never used",No difference,3,30,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 09:08:03,2025-10-23 09:10:44,IP Address,65.112.8.56,100,161,True,2025-10-23 09:10:45,R_6F1s830R9O8qadj,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Asian,,30,Single (not actively looking for love),No,"No, never used",No difference,2,35,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 09:16:44,2025-10-23 09:21:21,IP Address,107.77.224.139,100,277,True,2025-10-23 09:21:21,R_6TXBDzVBcHrvH4l,,,,,40.7653,-73.9589,anonymous,EN,21,Junior,Woman,,Straight / heterosexual,,"Hispanic or Latino/a/x,White",,70,Single (actively looking for love),Yes,"Yes, used in the past",No difference,2,50,Hinge,,A long-term relationship,,Multiple times a day,10,20,4,4,4,3,A few times a semester,"2, Somewhat negative",None of the above,Pick-up line,,Other,Class,2024,Yes,"Cambridge, MA, USA",I don't currently have a partner,
2025-10-23 09:35:20,2025-10-23 09:38:14,IP Address,65.112.8.50,100,174,True,2025-10-23 09:38:15,R_1qqsrG3CiAOEqiI,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Pansexual,,Asian,,35,Single (actively looking for love),No,"Yes, used in the past",Harder,2,60,"Hinge,Her",,A long-term relationship,,Very rarely,5,0,5,5,5,3,Never,"2, Somewhat negative",Felt insecure about the amount/lack of messages you received,"Regular greeting (hi, hello)",,,,,,,,
2025-10-23 10:08:36,2025-10-23 10:11:54,IP Address,65.112.8.16,100,198,True,2025-10-23 10:11:55,R_6fB1PR0emyLuelp,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,Asian,,10,In a relationship,Yes,"No, never used",Harder,2,60,,,,,,,,,,,,,,,,,Mutual friends,,2024,Yes,Macao,Different gender relationship,"Online dating apps gamify dating and often make it unserious (Ex. ""Long term, open to short"")"
2025-10-23 11:04:22,2025-10-23 11:06:29,IP Address,65.112.8.26,100,126,True,2025-10-23 11:06:29,R_5i6elVO6IGewGlP,,,,,42.3737,-71.1284,anonymous,EN,18,First-year,Man,,Straight / heterosexual,,"Asian,White",,50,Talking stage,No,"No, never used",No difference,3,40,,,,,,,,,,,,,,,,,,,,,,,vizship
2025-10-24 19:42:30,2025-10-24 19:43:40,IP Address,65.112.8.58,100,70,True,2025-10-24 19:43:41,R_7uEQ72am4rfSVHu,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Straight / heterosexual,,Asian,,0,Single (not actively looking for love),No,"No, never used",Easier,3,60,,,,,,,,,,,,,,,,,,,,,,,
2025-10-25 14:50:23,2025-10-25 14:52:54,IP Address,65.112.8.53,100,151,True,2025-10-25 14:52:55,R_5cBlzsHC4L2JBKn,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,White,,91,Single (actively looking for love),Yes,"No, not interested",No difference,3,40,,,,,,,,,,,,,,,,,Other,"Sport ",2021,No,"Ohio, USA ",I don't currently have a partner,
2025-10-19 09:40:40,2025-10-19 09:41:00,IP Address,96.230.242.46,3,20,False,2025-10-26 09:41:05,R_7IBsGZcsUfW2Wkx,,,,,42.366,-71.2271,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27 07:44:54,2025-10-27 07:48:49,IP Address,65.112.8.57,100,235,True,2025-10-27 07:48:49,R_3YbkoPfIEJJQqOM,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Man,,Queer,,Hispanic or Latino/a/x,,25,Single (not actively looking for love),Yes,"Yes, used in the past",No difference,3,15,"Tinder,Hinge",,A long-term relationship,,Once a month,10,1,3,5,5,3,Never,"3, Neither positive nor negative",Felt insecure about the amount/lack of messages you received,"Regular greeting (hi, hello)",,Mutual friends,,2022,No,"Atlanta, GA, USA",Same-gender relationship,
2025-10-27 16:07:57,2025-10-27 16:40:43,IP Address,65.112.8.61,100,1966,True,2025-10-27 16:40:44,R_1iHILYspI0FJ2Vj,,,,,42.3737,-71.1284,anonymous,EN,20,Junior,Woman,,Bisexual,,Asian,,30,In a relationship,Yes,"No, never used",Harder,,30,,,,,,,,,,,,,,,,,Mutual friends,,2024,No,"Berkeley, CA, USA ",Different gender relationship,
2025-10-21 18:53:46,2025-10-21 18:54:01,IP Address,96.230.242.46,3,14,False,2025-10-28 18:54:03,R_1qsHq8SnYiN3NJV,,,,,42.366,-71.2271,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:05:46,2025-10-22 13:05:50,IP Address,172.56.192.25,3,4,False,2025-10-29 13:06:00,R_3KBeuJCcRFH5xb3,,,,,42.2904,-71.0712,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:08:08,2025-10-22 13:08:14,IP Address,174.226.101.168,3,6,False,2025-10-29 13:08:15,R_6bORrRAV3eN8rEB,,,,,42.3498,-71.0765,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:10:38,2025-10-22 13:10:48,IP Address,65.112.8.27,3,10,False,2025-10-29 13:10:49,R_7G0NFv4LIVoAMLw,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:13:10,2025-10-22 13:14:37,IP Address,65.112.8.18,77,86,False,2025-10-29 13:14:40,R_1VaRYN3iZ6ESuza,,,,,42.3737,-71.1284,anonymous,EN,20,Sophomore,Man,,Straight / heterosexual,,White,,85,In a relationship,Yes,"No, not interested",Harder,2,67,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 13:36:13,2025-10-22 13:36:34,IP Address,65.112.8.16,3,20,False,2025-10-29 13:36:34,R_7oI8bXGMOUYYCCV,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 14:31:11,2025-10-22 14:31:35,IP Address,65.112.8.53,3,24,False,2025-10-29 14:31:36,R_1k5M1RNhy3uOjmn,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 14:47:03,2025-10-22 14:47:24,IP Address,65.112.8.29,3,20,False,2025-10-29 14:47:25,R_1F3Xv2KlUpEHJ9D,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 15:48:03,2025-10-22 15:48:32,IP Address,65.112.8.53,3,28,False,2025-10-29 15:48:33,R_5oFJ1SEPT2e6nPE,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 18:34:49,2025-10-22 18:35:59,IP Address,65.112.8.22,3,70,False,2025-10-29 18:36:01,R_1uUMdf5LvjOoQ22,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 18:34:38,2025-10-22 18:37:43,IP Address,65.112.8.26,77,185,False,2025-10-29 18:37:44,R_16gzJKGaSlSuNud,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,White,,35,Single (not actively looking for love),Yes,"No, never used",Easier,4,50,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 18:39:36,2025-10-22 18:40:40,IP Address,65.112.8.59,3,63,False,2025-10-29 18:40:46,R_1Itv7jo4s2L9dE8,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22 21:14:15,2025-10-22 21:14:19,IP Address,65.112.8.31,3,4,False,2025-10-29 21:14:26,R_1HBTpsZuxtfsBrz,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 04:52:39,2025-10-23 04:52:43,IP Address,67.134.205.27,3,3,False,2025-10-30 04:52:45,R_66o2t3BvZM94SsO,,,,,42.3737,-71.1284,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 07:01:59,2025-10-23 07:03:19,IP Address,65.112.8.50,77,79,False,2025-10-30 07:04:03,R_3SqWEfFWB2KWncZ,,,,,42.3737,-71.1284,anonymous,EN,19,Sophomore,Woman,,Straight / heterosexual,,"Asian,White",,10,Single (actively looking for love),Yes,"No, never used",Easier,2,60,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 07:10:08,2025-10-23 07:10:13,IP Address,104.28.78.80,3,4,False,2025-10-30 07:10:15,R_5nSf110OwYz4QhN,,,,,42.3574,-71.0618,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 09:09:54,2025-10-23 09:10:26,IP Address,104.28.56.2,94,31,False,2025-10-30 09:10:27,R_7aDKd6xGcQKh9U5,,,,,40.7126,-74.0066,anonymous,EN,18,First-year,Woman,,Straight / heterosexual,,Black / African American,,36,Single (actively looking for love),No,"No, never used",No difference,3,30,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 08:31:35,2025-10-23 09:33:09,IP Address,65.112.8.61,77,3694,False,2025-10-30 09:33:10,R_7QutVgQaBJYLeiP,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Straight / heterosexual,,Asian,,0,In a relationship,Yes,"No, but interested",No difference,2,60,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30 09:40:40,2025-10-30 09:44:19,IP Address,65.112.8.21,100,219,True,2025-10-30 09:44:19,R_1XnXHHTLGkXF1e4,,,,,42.3737,-71.1284,anonymous,EN,21,Senior,Woman,,Bisexual,,"Hispanic or Latino/a/x,White",,10,Single (not actively looking for love),Yes,"Yes, currently use",Harder,4,45,"Tinder,Hinge,Bumble",,Entertainment / validation,,A few times a month,20,50,4,4,5,4,Rarely,"4, Somewhat positive","Been sent a sexually explicit message or image you did not ask for,Had someone continue to contact you after you said you were not interested,Felt insecure about the amount/lack of messages you received","Regular greeting (hi, hello)",,Dating app,,2024,No,Cannot say,Different gender relationship,
